Operating permit number,Address,Mechanical system type,Current system status,Permit renewal date,Voluntary participant,Date of most recent report,Legionella pneumophila,Marker colour,Escherichia coli,Turbidity,Temperature,Total Suspended Solids,Benzene,Toluene,Ethylbenzene,Xylenes Total,EOCP certification number,Geom,Geo Local Area,Water quality reports link,geo_point_2d
OP-2020-01068,"2628 ASH STREET, Vancouver, BC V5Z 4L2",Decorative Water Feature,Inactive,8/20/2025,N,11/1/2024,,blue,,,,,,,,,1001364,"{""coordinates"":[-123.1170439,49.2617513],""type"":""Point""}",Fairview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01068,"49.2617513, -123.1170439"
OP-2020-01086,"555 W 12TH AVENUE, Vancouver, BC V5Z 3X7",Cooling Tower,Active,8/26/2025,N,1/17/2025,0,blue,,,,,,,,,1001332,"{""coordinates"":[-123.1163251,49.2609394],""type"":""Point""}",Fairview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01086,"49.2609394, -123.1163251"
OP-2020-01097,"1189 MELVILLE STREET, Vancouver, BC V6E 4T8",Decorative Water Feature,Active,8/31/2025,N,1/16/2025,0,blue,,,,,,,,,1001362,"{""coordinates"":[-123.1234524,49.287782],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01097,"49.287782, -123.1234524"
OP-2020-01071,"725 GRANVILLE STREET, Vancouver, BC",Cooling Tower,Active,1/15/2026,N,2/5/2025,0,blue,,,,,,,,,1001342,"{""coordinates"":[-123.1194942,49.2822452],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01071,"49.2822452, -123.1194942"
OP-2020-01074,"2211 W 2ND AVENUE, Vancouver, BC V6K 1H8",Decorative Water Feature,Inactive,8/23/2025,N,8/30/2024,,blue,,,,,,,,,1001364,"{""coordinates"":[-123.1556088,49.2701876],""type"":""Point""}",Kitsilano,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01074,"49.2701876, -123.1556088"
OP-2020-01084,"350 W GEORGIA STREET, Vancouver, BC V6B 6B1",Cooling Tower,Active,2/5/2026,N,12/27/2024,0,blue,,,,,,,,,50116,"{""coordinates"":[-123.1155703,49.2797085],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01084,"49.2797085, -123.1155703"
OP-2020-01085,"645 HOWE STREET, Vancouver, BC V6C 2Y9",Cooling Tower,Inactive,8/26/2025,N,1/28/2022,,blue,,,,,,,,,,"{""coordinates"":[-123.1181969,49.2841021],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01085,"49.2841021, -123.1181969"
OP-2020-01091,"6311 CAMBIE STREET, Vancouver, BC V5Z 3B2",Decorative Water Feature,Inactive,8/30/2025,N,5/31/2022,,blue,,,,,,,,,1001128,"{""coordinates"":[-123.1170235,49.2275938],""type"":""Point""}",Oakridge,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01091,"49.2275938, -123.1170235"
OP-2020-01098,"1122 MAINLAND STREET, Vancouver, BC V6B 5L1",Cooling Tower,Inactive,8/31/2025,N,11/13/2024,0,blue,,,,,,,,,1001342,"{""coordinates"":[-123.12069,49.2751615],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01098,"49.2751615, -123.12069"
OP-2020-01105,"8570 RIVERGRASS DRIVE, Vancouver, BC V1V 1V1",Cooling Tower,Inactive,1/27/2026,N,10/8/2024,,blue,,,,,,,,,1001128,"{""coordinates"":[-123.0275505,49.2054625],""type"":""Point""}",Killarney,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2020-01105,"49.2054625, -123.0275505"
